,enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
51,2195,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,0.0
52,30533,city_105,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,0.0
55,12253,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
56,25296,city_73,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,0.0
59,18578,city_162,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,1.0
61,26516,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,0.0
63,8433,city_100,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,0.0
65,5878,city_93,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1.0
66,25695,city_67,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,0.0
68,12730,city_16,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,0.0
72,12731,city_13,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,0.0
76,22683,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,0.0
77,22134,city_103,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,0.0
78,31765,city_67,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,0.0
79,31449,city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,0.0
80,5987,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
81,21762,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
85,28403,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,0.0
86,30937,city_57,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,0.0
92,16869,city_103,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1.0
95,12081,city_65,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,0.0
98,7016,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1.0
99,8695,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,1.0
100,6172,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1.0
102,18257,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,0.0
104,1180,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,0.0
105,28627,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
106,8168,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,0.0
107,10473,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,1.0
108,25349,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
110,4789,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0.0
111,11338,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,0.0
113,8571,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,0.0
115,20576,city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
116,32966,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1.0
118,18819,city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,0.0
119,14199,city_160,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,0.0
120,7666,city_21,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,0.0
121,13915,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,1.0
122,10555,city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,0.0
123,16040,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,0.0
125,13253,city_82,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,0.0
126,15637,city_67,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,0.0
127,28074,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,0.0
128,23012,city_103,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,0.0
129,16110,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1.0
131,24530,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,0.0
137,24829,city_103,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1.0
139,1265,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,0.0
141,13342,city_21,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,0.0
142,24608,city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,0.0
144,24796,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,0.0
148,3396,city_67,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,0.0
152,31786,city_103,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,0.0
155,23455,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1.0
157,28817,city_89,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,1.0
159,7280,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,0.0
160,16903,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,0.0
162,26241,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,0.0
165,32092,city_103,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,0.0
166,3766,city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
167,30496,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,0.0
168,7189,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
169,29497,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,1.0
170,31593,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,0.0
172,11986,city_90,Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,0.0
175,3728,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,0.0
176,3024,city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,0.0
177,23508,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Pvt Ltd,0.0
178,29457,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,0.0
181,3065,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,0.0
183,5493,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,0.0
184,2891,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
185,32509,city_136,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,0.0
187,907,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
188,29526,city_115,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,1.0
189,10956,city_94,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,0.0
190,26099,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,0.0
194,706,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,0.0
195,9890,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,0.0
196,32683,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
199,31943,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,0.0
201,33339,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,0.0
204,29529,city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1.0
206,32095,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,0.0
208,30098,city_103,Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,0.0
214,24936,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,0.0
216,31602,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
218,16814,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
219,19249,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0.0
220,9475,city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,0.0
222,20881,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,0.0
226,8528,city_160,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,0.0
227,6141,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,0.0
229,2821,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,0.0
231,25495,city_142,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,0.0
233,28015,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,0.0
235,405,city_165,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,0.0
236,13891,city_71,Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,0.0
238,399,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
240,8751,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,0.0
244,12509,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
246,13083,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,0.0
249,15922,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0.0
251,28838,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,0.0
252,24082,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1.0
254,1020,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,0.0
258,14578,city_64,Male,Has relevent experience,Part time course,Graduate,STEM,9,10/49,Pvt Ltd,1.0
259,20732,city_64,Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1.0
262,17358,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,10/49,Early Stage Startup,0.0
263,21933,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
266,24152,city_83,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,0.0
272,20976,city_160,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,0.0
273,13150,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,0.0
276,13152,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,0.0
279,22689,city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,0.0
281,13994,city_12,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1.0
282,27064,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,0.0
284,9571,city_173,Male,No relevent experience,Part time course,Graduate,STEM,10,10/49,Early Stage Startup,0.0
285,30854,city_43,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,0.0
288,17519,city_142,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,0.0
292,31692,city_160,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
293,6052,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,0.0
295,12934,city_114,Male,Has relevent experience,Part time course,Graduate,STEM,19,500-999,Pvt Ltd,0.0
296,30400,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
297,26419,city_67,Female,Has relevent experience,Full time course,Graduate,STEM,6,1000-4999,Pvt Ltd,0.0
299,12117,city_74,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,0.0
302,32534,city_102,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,0.0
308,2793,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
309,25174,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,0.0
313,30484,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
314,14688,city_116,Male,No relevent experience,Full time course,Masters,STEM,11,50-99,Pvt Ltd,0.0
317,20322,city_102,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,0.0
318,22194,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Funded Startup,0.0
319,31401,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,0.0
325,10102,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,0.0
327,15701,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,0.0
328,21218,city_75,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,10000+,Pvt Ltd,0.0
332,10752,city_67,Female,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1.0
335,17460,city_16,Female,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,0.0
337,9384,city_61,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
338,4269,city_67,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,0.0
340,28033,city_136,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Early Stage Startup,0.0
341,1568,city_99,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
346,32652,city_65,Male,Has relevent experience,Full time course,Masters,STEM,5,100-500,Pvt Ltd,0.0
349,21078,city_160,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0.0
354,2855,city_16,Male,No relevent experience,no_enrollment,Masters,STEM,5,10000+,Pvt Ltd,0.0
356,27866,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,0.0
358,24807,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0.0
362,2990,city_173,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1.0
363,28229,city_40,Male,Has relevent experience,Part time course,Graduate,STEM,18,100-500,Funded Startup,0.0
364,4162,city_102,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,0.0
367,2194,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Funded Startup,0.0
368,21564,city_21,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,1.0
369,17432,city_16,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,0.0
371,1988,city_36,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
374,8540,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,0.0
376,15468,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,0.0
378,1297,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,0.0
381,22517,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Public Sector,0.0
383,30676,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
386,29961,city_75,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,0.0
389,23505,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,0.0
390,11751,city_138,Male,No relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,0.0
394,10370,city_75,Male,Has relevent experience,no_enrollment,Masters,STEM,16,5000-9999,NGO,0.0
396,5340,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,0.0
397,9217,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Early Stage Startup,0.0
400,5673,city_45,Male,No relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0.0
401,25421,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,0.0
402,20698,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,NGO,0.0
407,9515,city_103,Male,No relevent experience,no_enrollment,Graduate,Other,2,1000-4999,Public Sector,0.0
408,20743,city_50,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1.0
409,25766,city_71,Male,No relevent experience,Full time course,Masters,STEM,14,100-500,Public Sector,0.0
411,4642,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,NGO,0.0
412,16178,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
413,1829,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1.0
416,10529,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,<10,Pvt Ltd,0.0
419,32324,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
424,17083,city_160,Female,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,Pvt Ltd,0.0
425,16414,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,0.0
426,32340,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Funded Startup,0.0
427,18462,city_136,Male,No relevent experience,no_enrollment,Masters,STEM,8,10/49,Pvt Ltd,0.0
430,29982,city_105,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,50-99,Pvt Ltd,0.0
431,29217,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,0.0
433,22508,city_71,Female,No relevent experience,Part time course,Graduate,STEM,5,100-500,Pvt Ltd,0.0
434,25969,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
435,28080,city_103,Other,Has relevent experience,no_enrollment,Graduate,Arts,5,10/49,Early Stage Startup,0.0
438,29000,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,0.0
442,21989,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,0.0
443,10984,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,10000+,NGO,0.0
444,26543,city_173,Male,Has relevent experience,Part time course,Graduate,STEM,10,50-99,Public Sector,0.0
445,32043,city_21,Male,Has relevent experience,Full time course,Masters,STEM,10,50-99,Pvt Ltd,1.0
446,15343,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Public Sector,0.0
450,23185,city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
452,9600,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,1.0
454,5141,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,0.0
455,657,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Funded Startup,0.0
456,29991,city_41,Male,Has relevent experience,no_enrollment,Graduate,Arts,9,1000-4999,Pvt Ltd,1.0
457,18759,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
460,20135,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
461,18620,city_40,Male,Has relevent experience,Full time course,Graduate,STEM,14,1000-4999,Pvt Ltd,0.0
462,24226,city_21,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,0.0
466,11966,city_138,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,100-500,Pvt Ltd,0.0
467,10017,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,0.0
470,20797,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,0.0
471,25041,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1.0
475,17783,city_65,Male,Has relevent experience,Full time course,Graduate,STEM,<1,10000+,Pvt Ltd,0.0
477,6283,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,10,50-99,Pvt Ltd,0.0
480,28468,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
483,4978,city_114,Male,Has relevent experience,Part time course,Masters,STEM,14,10000+,Pvt Ltd,0.0
484,28641,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
488,3999,city_72,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Public Sector,0.0
489,9860,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,10/49,Pvt Ltd,0.0
492,24366,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1.0
495,1396,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
496,22954,city_105,Female,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,0.0
498,1563,city_19,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,0.0
499,29612,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,1.0
500,23856,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,0.0
501,30441,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,100-500,Pvt Ltd,0.0
504,11545,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Pvt Ltd,0.0
505,2404,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1.0
507,19555,city_65,Male,Has relevent experience,Full time course,Graduate,STEM,8,5000-9999,Pvt Ltd,0.0
512,23365,city_101,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,<10,Early Stage Startup,1.0
514,23430,city_20,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,0.0
515,30404,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1.0
516,8930,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,0.0
517,3920,city_106,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,0.0
521,11780,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1.0
524,22420,city_67,Male,Has relevent experience,no_enrollment,Graduate,Humanities,9,10000+,Pvt Ltd,0.0
527,21603,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,0.0
530,19612,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1.0
531,18905,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,0.0
