,enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
1419,31510,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,0.0
9593,5036,city_71,Male,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Early Stage Startup,0.0
157,28817,city_89,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,1.0
930,28336,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
17076,9737,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,500-999,Pvt Ltd,1.0
13559,4531,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,0.0
9231,21863,city_46,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,0.0
15745,4356,city_162,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,Pvt Ltd,0.0
17554,21162,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,NGO,0.0
8664,19047,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,0.0
13089,9885,city_41,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,0.0
3842,21761,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Public Sector,0.0
14197,7062,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,0.0
5504,7932,city_21,Male,Has relevent experience,Part time course,Graduate,STEM,7,100-500,Pvt Ltd,0.0
18724,22432,city_123,Male,Has relevent experience,no_enrollment,Masters,STEM,10,5000-9999,Pvt Ltd,0.0
14882,24289,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1.0
3497,6789,city_141,Male,No relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,0.0
7461,5779,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
12717,14114,city_162,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,0.0
4740,29348,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,100-500,NGO,0.0
11102,26287,city_158,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,0.0
18946,26999,city_21,Male,No relevent experience,Part time course,Graduate,STEM,3,<10,Early Stage Startup,0.0
7092,30081,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,1.0
1611,14073,city_114,Male,Has relevent experience,Part time course,Graduate,STEM,11,10/49,Funded Startup,0.0
9334,29443,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
8852,13749,city_114,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,<10,Pvt Ltd,1.0
15409,16907,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,3,10/49,Pvt Ltd,0.0
3108,17355,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,100-500,Pvt Ltd,0.0
6181,3781,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1.0
6951,10609,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,0.0
15708,19301,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,0.0
10960,27037,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,0.0
10290,2200,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,0.0
10341,30599,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,18,50-99,Pvt Ltd,0.0
4254,6228,city_41,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
2636,32490,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,0.0
2237,15547,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,0.0
13818,16322,city_99,Male,No relevent experience,no_enrollment,Graduate,Business Degree,7,50-99,Pvt Ltd,0.0
3683,12945,city_103,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,1000-4999,Pvt Ltd,0.0
15726,19994,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Public Sector,0.0
3548,26905,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,0.0
1420,19544,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,1.0
10090,13681,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
9588,3187,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
18280,13941,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,0.0
12428,12597,city_28,Male,No relevent experience,no_enrollment,Graduate,Humanities,12,50-99,Public Sector,0.0
17562,20003,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,0.0
10375,14079,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1.0
17173,29307,city_138,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,1.0
586,13597,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,0.0
5614,26696,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,0.0
2374,5149,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1.0
2081,4964,city_97,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Other,0.0
7449,11815,city_136,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,0.0
1900,11092,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,0.0
7609,30485,city_98,Male,No relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,0.0
3550,10409,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0.0
10013,20207,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,20,50-99,Pvt Ltd,0.0
15229,1986,city_73,Male,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Public Sector,0.0
5539,31290,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,19,<10,Early Stage Startup,0.0
1452,28992,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
3171,6011,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Early Stage Startup,1.0
1028,20555,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
6108,33183,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
11024,756,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Funded Startup,0.0
4602,19984,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,4,1000-4999,Pvt Ltd,1.0
12199,21639,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,0.0
13685,21360,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,1.0
3510,16778,city_21,Male,No relevent experience,Full time course,Masters,STEM,1,500-999,Pvt Ltd,0.0
6084,20452,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,1000-4999,Public Sector,0.0
3435,30243,city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,1.0
16568,12425,city_136,Male,No relevent experience,no_enrollment,Phd,STEM,>20,500-999,Public Sector,0.0
16637,29880,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,0.0
17883,1559,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,0.0
10768,4722,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,6,500-999,Pvt Ltd,0.0
15373,18489,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,<1,500-999,Pvt Ltd,0.0
15706,683,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
18145,19849,city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,0.0
5631,29679,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Pvt Ltd,0.0
18359,11603,city_21,Male,No relevent experience,Full time course,Graduate,STEM,7,100-500,Funded Startup,0.0
6337,5791,city_75,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,0.0
1432,12785,city_50,Male,No relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,0.0
827,1783,city_40,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,0.0
9110,9539,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,0.0
7119,31067,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,1000-4999,Pvt Ltd,0.0
6106,14990,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,0.0
18516,9814,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,NGO,0.0
15970,6479,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10/49,Pvt Ltd,0.0
8450,27081,city_114,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,Pvt Ltd,0.0
730,12217,city_16,Male,Has relevent experience,Part time course,Graduate,STEM,10,50-99,Pvt Ltd,0.0
15137,7688,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Pvt Ltd,0.0
2866,324,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
6976,25235,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,0.0
7099,5647,city_26,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,0.0
11075,20708,city_16,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
8499,11784,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,1.0
6618,26267,city_160,Male,Has relevent experience,Full time course,Graduate,STEM,8,100-500,Funded Startup,0.0
14596,6090,city_114,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,50-99,Pvt Ltd,0.0
13054,5339,city_97,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,1.0
13692,2692,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,0.0
279,22689,city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,0.0
17544,29594,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,18,5000-9999,Pvt Ltd,0.0
7380,2486,city_36,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,0.0
5365,24907,city_76,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,0.0
13001,8366,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,16,500-999,Funded Startup,0.0
10018,10550,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1.0
10297,19628,city_145,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Early Stage Startup,0.0
15487,14326,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,Pvt Ltd,0.0
3184,2385,city_75,Male,No relevent experience,no_enrollment,Graduate,STEM,15,<10,Pvt Ltd,0.0
17530,13646,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Funded Startup,0.0
16166,16603,city_114,Male,Has relevent experience,no_enrollment,Graduate,Arts,3,10/49,Pvt Ltd,0.0
15300,26839,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Early Stage Startup,0.0
9816,10286,city_114,Male,No relevent experience,Full time course,Graduate,STEM,10,100-500,Pvt Ltd,1.0
11864,25204,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
4910,2154,city_50,Male,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Pvt Ltd,0.0
539,9684,city_10,Male,Has relevent experience,no_enrollment,Masters,STEM,17,<10,Early Stage Startup,0.0
15063,22047,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,15,5000-9999,Pvt Ltd,0.0
1775,27955,city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,1.0
11984,30622,city_128,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,1.0
10294,19440,city_11,Male,Has relevent experience,Part time course,Graduate,STEM,2,50-99,Pvt Ltd,1.0
11983,13587,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,0.0
10794,24653,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,0.0
18749,2473,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,NGO,0.0
5354,7371,city_103,Male,No relevent experience,no_enrollment,Phd,STEM,14,1000-4999,Pvt Ltd,0.0
3531,6960,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,0.0
1021,16105,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,1.0
17008,2186,city_16,Male,Has relevent experience,no_enrollment,Phd,Other,>20,50-99,Pvt Ltd,0.0
15666,30335,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,Early Stage Startup,1.0
3119,13926,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,7,1000-4999,Pvt Ltd,0.0
3255,615,city_67,Male,Has relevent experience,Part time course,Graduate,STEM,4,<10,Pvt Ltd,0.0
2216,25396,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,0.0
10334,16259,city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,<10,NGO,1.0
11384,30945,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1.0
11684,8628,city_84,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,0.0
15152,17536,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Pvt Ltd,0.0
915,18824,city_114,Male,No relevent experience,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,0.0
18868,13502,city_136,Male,No relevent experience,Part time course,Masters,STEM,3,1000-4999,Pvt Ltd,0.0
16222,22845,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1.0
276,13152,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,0.0
2749,20248,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
12121,14059,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,0.0
15433,2730,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,0.0
263,21933,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
5060,19380,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,>20,500-999,Public Sector,1.0
11848,2443,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10/49,Pvt Ltd,0.0
14361,7750,city_45,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,0.0
16879,8992,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,0.0
13276,33000,city_90,Male,Has relevent experience,Part time course,Graduate,STEM,7,10/49,Early Stage Startup,0.0
12189,27175,city_25,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Pvt Ltd,0.0
10359,8227,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,0.0
1285,15705,city_162,Male,Has relevent experience,Full time course,Graduate,STEM,3,<10,Funded Startup,1.0
2551,1984,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,1.0
1939,19090,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,0.0
10115,19326,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,0.0
7453,5834,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,0.0
11966,22220,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
10933,5164,city_114,Male,Has relevent experience,Full time course,Graduate,STEM,>20,1000-4999,NGO,0.0
17630,3102,city_136,Male,Has relevent experience,no_enrollment,Phd,STEM,18,10/49,Pvt Ltd,0.0
16795,15261,city_83,Male,Has relevent experience,Part time course,Masters,STEM,6,10000+,Pvt Ltd,0.0
1890,10992,city_102,Male,No relevent experience,no_enrollment,Graduate,Humanities,1,1000-4999,Pvt Ltd,0.0
11111,32345,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,NGO,0.0
10470,4665,city_104,Male,Has relevent experience,no_enrollment,Graduate,Humanities,5,50-99,NGO,0.0
10419,7735,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,0.0
14662,22663,city_16,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,10/49,Funded Startup,0.0
10913,11453,city_114,Male,No relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,0.0
16684,2906,city_105,Male,Has relevent experience,Part time course,Graduate,STEM,4,100-500,Pvt Ltd,0.0
8814,3416,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,0.0
15165,4131,city_103,Male,No relevent experience,no_enrollment,Phd,STEM,>20,5000-9999,NGO,0.0
1596,7451,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1.0
10475,27369,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,0.0
12934,827,city_97,Male,No relevent experience,no_enrollment,Phd,STEM,13,10000+,Public Sector,0.0
9734,31680,city_114,Male,No relevent experience,no_enrollment,Masters,Humanities,11,50-99,Pvt Ltd,0.0
2672,14758,city_114,Male,No relevent experience,Full time course,Graduate,STEM,4,10000+,Pvt Ltd,0.0
2040,22369,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,0.0
5399,6780,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1.0
16578,14484,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Early Stage Startup,0.0
15319,7974,city_128,Male,Has relevent experience,Full time course,Masters,STEM,8,5000-9999,Public Sector,0.0
15960,22681,city_20,Male,Has relevent experience,Part time course,Graduate,STEM,8,50-99,Pvt Ltd,0.0
9507,29898,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,500-999,Pvt Ltd,0.0
7620,10906,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,0.0
2876,9260,city_21,Male,Has relevent experience,Part time course,Masters,STEM,3,100-500,Pvt Ltd,0.0
11168,13515,city_76,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
7174,22467,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1.0
14037,124,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1.0
181,3065,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,0.0
10450,18919,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,0.0
17806,29551,city_16,Male,Has relevent experience,Part time course,Masters,STEM,>20,50-99,Pvt Ltd,0.0
11295,15556,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,0.0
8407,2504,city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
13580,7596,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,10,50-99,Pvt Ltd,0.0
6615,31091,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,0.0
9113,1037,city_10,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,0.0
9409,30952,city_16,Male,No relevent experience,Part time course,Graduate,STEM,3,1000-4999,Public Sector,0.0
2857,16891,city_23,Male,Has relevent experience,Part time course,Graduate,STEM,16,10000+,Pvt Ltd,0.0
2337,29733,city_16,Male,Has relevent experience,no_enrollment,Graduate,Arts,19,500-999,NGO,0.0
17148,29426,city_160,Male,No relevent experience,no_enrollment,Masters,STEM,<1,50-99,Pvt Ltd,0.0
17295,5317,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,0.0
11120,14576,city_128,Male,Has relevent experience,no_enrollment,Graduate,Other,6,50-99,Pvt Ltd,0.0
14317,7006,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,0.0
11569,17061,city_115,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,0.0
1144,1742,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,NGO,0.0
11884,13580,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,0.0
18270,5175,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
9125,14228,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,0.0
12672,16344,city_114,Male,No relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,0.0
11827,22987,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,0.0
13116,22433,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,0.0
3198,17946,city_136,Male,No relevent experience,no_enrollment,Masters,STEM,11,1000-4999,Pvt Ltd,0.0
4274,5735,city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,0.0
2695,31189,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Public Sector,1.0
4764,19608,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,Pvt Ltd,0.0
6727,9129,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Funded Startup,0.0
7445,9122,city_144,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,13,100-500,Public Sector,0.0
10917,24004,city_74,Male,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Pvt Ltd,0.0
18206,30206,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1.0
8318,8360,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,0.0
3617,23143,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,9,10/49,Pvt Ltd,0.0
16858,33143,city_103,Male,No relevent experience,Full time course,Graduate,No Major,1,1000-4999,NGO,1.0
