enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
6774,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,0.0
20393,city_11,Male,Has relevent experience,Part time course,Graduate,No Major,6,500-999,Pvt Ltd,1.0
27285,city_55,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
28876,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,0.0
19404,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1.0
29538,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,10,10000+,Pvt Ltd,0.0
31602,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
3510,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,5000-9999,Pvt Ltd,0.0
31138,city_71,Male,Has relevent experience,no_enrollment,Graduate,Other,5,<10,Pvt Ltd,0.0
31507,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Public Sector,0.0
24651,city_150,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,<10,Funded Startup,1.0
7971,city_45,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
25723,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
29952,city_75,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,0.0
27618,city_104,Male,No relevent experience,Full time course,Masters,STEM,9,100-500,Public Sector,1.0
4473,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Funded Startup,1.0
7358,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,Pvt Ltd,0.0
7323,city_118,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Early Stage Startup,1.0
20952,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,0.0
1740,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,0.0
86,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,0.0
8670,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,10,500-999,Pvt Ltd,0.0
29793,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,0.0
18727,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
9905,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,0.0
2845,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,10,500-999,Pvt Ltd,0.0
25125,city_100,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Funded Startup,0.0
12485,city_165,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
20639,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,0.0
19157,city_103,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Pvt Ltd,1.0
19283,city_160,Male,Has relevent experience,Full time course,Graduate,STEM,7,1000-4999,Pvt Ltd,1.0
17556,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,5,<10,Other,1.0
29198,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,0.0
20589,city_21,Male,No relevent experience,Part time course,Masters,STEM,1,<10,Public Sector,0.0
30287,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1.0
17296,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,<1,10/49,Early Stage Startup,0.0
3184,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,1.0
6855,city_160,Male,No relevent experience,Full time course,Graduate,STEM,4,10000+,Pvt Ltd,0.0
14199,city_160,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,0.0
27681,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1.0
32300,city_65,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
26945,city_114,Male,Has relevent experience,Full time course,Graduate,STEM,8,50-99,Pvt Ltd,0.0
9829,city_83,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,0.0
7451,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1.0
18042,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,1000-4999,Pvt Ltd,0.0
18778,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,0.0
19246,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
33184,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,0.0
29679,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Pvt Ltd,0.0
7280,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,0.0
10148,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,0.0
31457,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,0.0
16476,city_21,Male,Has relevent experience,Full time course,Masters,STEM,<1,50-99,Pvt Ltd,1.0
2840,city_71,Male,Has relevent experience,Part time course,Graduate,STEM,17,50-99,Pvt Ltd,0.0
3681,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Funded Startup,0.0
27638,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,0.0
32118,city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,0.0
18644,city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,0.0
7450,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,1.0
17170,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10/49,Pvt Ltd,0.0
18876,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,0.0
1606,city_138,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Funded Startup,0.0
15093,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,0.0
28184,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,<1,100-500,Pvt Ltd,1.0
9037,city_45,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,0.0
14457,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
14765,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,7,10/49,Pvt Ltd,0.0
24046,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
32512,city_64,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,0.0
19925,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Funded Startup,0.0
3766,city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
2832,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,0.0
14040,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,0.0
14079,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1.0
14197,city_136,Male,No relevent experience,no_enrollment,Masters,STEM,7,10/49,Early Stage Startup,0.0
29822,city_118,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,0.0
23299,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1.0
24580,city_136,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
14614,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1.0
13109,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,1.0
20847,city_24,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,0.0
24487,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,0.0
2400,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Funded Startup,1.0
13784,city_28,Male,Has relevent experience,no_enrollment,Masters,STEM,10,<10,Pvt Ltd,0.0
14279,city_176,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,0.0
28658,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,0.0
9220,city_36,Male,No relevent experience,no_enrollment,Graduate,Business Degree,19,1000-4999,Pvt Ltd,0.0
27823,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
22046,city_83,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
24291,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,0.0
8604,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,14,10000+,Pvt Ltd,0.0
26460,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,0.0
29416,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
4890,city_78,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,0.0
27461,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Funded Startup,0.0
30694,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,0.0
9372,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
17105,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
3261,city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,NGO,0.0
27335,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,12,<10,Early Stage Startup,0.0
14186,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,0.0
22888,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Funded Startup,0.0
10307,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,Pvt Ltd,0.0
11067,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,7,5000-9999,Public Sector,1.0
24478,city_83,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,0.0
4104,city_41,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,0.0
1285,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,0.0
827,city_97,Male,No relevent experience,no_enrollment,Phd,STEM,13,10000+,Public Sector,0.0
21542,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Funded Startup,0.0
13091,city_160,Male,No relevent experience,Part time course,Graduate,Other,6,10000+,Public Sector,0.0
11165,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,5000-9999,Pvt Ltd,0.0
4162,city_102,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,0.0
9577,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,0.0
23512,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
14168,city_114,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,0.0
23856,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,0.0
17858,city_81,Male,Has relevent experience,Part time course,Graduate,STEM,9,50-99,Pvt Ltd,0.0
17203,city_65,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,0.0
22908,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10/49,Pvt Ltd,1.0
18068,city_114,Male,Has relevent experience,no_enrollment,Phd,Humanities,>20,50-99,Pvt Ltd,0.0
4396,city_160,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,0.0
30625,city_74,Male,Has relevent experience,Full time course,Graduate,No Major,2,50-99,Pvt Ltd,1.0
18624,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,10,5000-9999,Pvt Ltd,1.0
13580,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,0.0
20136,city_36,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10/49,Pvt Ltd,0.0
7762,city_116,Male,Has relevent experience,no_enrollment,Masters,Humanities,10,1000-4999,Pvt Ltd,1.0
25124,city_67,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,Pvt Ltd,1.0
14432,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,0.0
10885,city_104,Male,Has relevent experience,no_enrollment,Masters,STEM,11,1000-4999,Pvt Ltd,0.0
24860,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Early Stage Startup,1.0
14349,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
28051,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,0.0
28788,city_75,Male,No relevent experience,no_enrollment,Masters,STEM,12,<10,Early Stage Startup,0.0
17929,city_10,Male,Has relevent experience,no_enrollment,Masters,STEM,15,500-999,Pvt Ltd,0.0
15954,city_23,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,0.0
27000,city_136,Male,Has relevent experience,no_enrollment,Masters,Other,12,50-99,Funded Startup,0.0
10989,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,NGO,0.0
9986,city_103,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Funded Startup,0.0
4183,city_103,Male,No relevent experience,no_enrollment,Phd,STEM,10,10000+,Pvt Ltd,0.0
6554,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Funded Startup,0.0
1750,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
15556,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,0.0
17716,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,0.0
27249,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,17,100-500,Pvt Ltd,0.0
20581,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,1,10/49,Public Sector,1.0
16625,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,4,<10,Early Stage Startup,1.0
19106,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
13164,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,0.0
9470,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,0.0
27470,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
4866,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,0.0
10408,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,1.0
14637,city_141,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Pvt Ltd,1.0
13587,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,0.0
3720,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,0.0
3136,city_83,Male,No relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,0.0
23583,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,0.0
6207,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,0.0
16612,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,0.0
17539,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,0.0
27981,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,0.0
5735,city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,0.0
2405,city_116,Male,Has relevent experience,no_enrollment,Masters,Other,6,1000-4999,Pvt Ltd,0.0
4033,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
25337,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,0.0
26696,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,0.0
29599,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0.0
6446,city_89,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,NGO,0.0
30751,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1.0
13311,city_103,Male,Has relevent experience,Full time course,Graduate,STEM,6,5000-9999,Pvt Ltd,0.0
18121,city_39,Male,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,0.0
29504,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,0.0
30754,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,0.0
1358,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,0.0
19163,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Pvt Ltd,0.0
18729,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,0.0
4805,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,0.0
6595,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,0.0
15029,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,4,1000-4999,Pvt Ltd,0.0
18619,city_50,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,0.0
4133,city_103,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,<10,Pvt Ltd,0.0
33198,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,16,<10,Early Stage Startup,0.0
15428,city_76,Male,Has relevent experience,Full time course,Graduate,STEM,6,1000-4999,Pvt Ltd,0.0
10684,city_149,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,1000-4999,Pvt Ltd,0.0
22239,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Pvt Ltd,0.0
19377,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,0.0
8920,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,1.0
25340,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,0.0
4608,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1.0
55,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Funded Startup,0.0
12499,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,500-999,Pvt Ltd,0.0
27003,city_16,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,0.0
30943,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,0.0
14185,city_67,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10/49,Pvt Ltd,0.0
32447,city_149,Male,No relevent experience,no_enrollment,Graduate,STEM,12,<10,Public Sector,0.0
10365,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,0.0
15884,city_64,Male,No relevent experience,no_enrollment,Graduate,Business Degree,17,500-999,Pvt Ltd,0.0
25511,city_99,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Pvt Ltd,0.0
9419,city_45,Male,Has relevent experience,Full time course,Masters,STEM,9,50-99,Pvt Ltd,0.0
32832,city_114,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,0.0
25930,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,0.0
951,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,0.0
3124,city_16,Male,Has relevent experience,Full time course,Graduate,No Major,2,<10,Pvt Ltd,0.0
6394,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,0.0
23958,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,0.0
18482,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,0.0
32924,city_90,Male,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Funded Startup,0.0
30303,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10/49,Pvt Ltd,0.0
29823,city_150,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Public Sector,0.0
11903,city_65,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
21736,city_114,Male,No relevent experience,Part time course,Graduate,STEM,7,100-500,Pvt Ltd,1.0
24062,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,1.0
